Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nf","C_0402_1005Metric",116.380000,-102.335000,0.000000,top
"C2","100nf","C_0402_1005Metric",92.180000,-102.335000,0.000000,top
"DS-ONES1","TDSR0760","TDSR0760",111.440000,-104.990000,0.000000,top
"DS-TENS1","TDSR0760","TDSR0760",102.140000,-104.990000,0.000000,top
"J1","Conn_01x04","Pins_1x04_2.54mm_TH_SWD",104.200000,-79.300000,90.000000,top
"R1","10K","R_0402_1005Metric",92.200000,-96.600000,180.000000,top
"R2","10K","R_0402_1005Metric",116.400000,-96.600000,180.000000,top
"R3","10K","R_0402_1005Metric",92.200000,-99.472500,0.000000,top
"R4","10K","R_0402_1005Metric",116.400000,-99.472500,0.000000,top
