"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"DS-TENS1,DS-ONES1";"TDSR0760";2;"TDSR0760";;;
2;"IC2,IC1";"DIP794W53P254L1930H508Q16N";2;"CD4033BE";;;
3;"R4,R3,R2,R1";"R_0402_1005Metric";4;"10K";;;
4;"J1";"Pins_1x04_2.54mm_TH_SWD";1;"Conn_01x04";;;
5;"C2,C1";"C_0402_1005Metric";2;"100nf";;;
