Comment,Designator,Footprint,LCSC Part Number
100nf Unpolarized capacitor,"C1, C2, ",Capacitor_SMD:C_0402_1005Metric,C1525
10K Resistor,"R1, R2, R3, R4, ",Resistor_SMD:R_0402_1005Metric,C25744
