Designator,Mid X,Mid Y,Rotation,Layer
C11,72.5,-49.5,0,top
D2,68.5,-37.7,0,top
D5,67.8,-47.7,90,top
D6,67.8,-44.4,-90,top
R1,68,-53.5,0,top
R2,68.1,-67.1,0,top
R3,67.9,-80.8,0,top
R5,68.3,-41.6,180,top
R12,68.3,-39.6,180,top
R15,75,-49.5,0,top
