Ref,Val,Package,PosX,PosY,Rot,Side
"C11","330pf","C_0402_1005Metric",72.500000,-49.500000,0.000000,top
"D2","LED","LED_0603_1608Metric",68.500000,-37.700000,0.000000,top
"D5","1N5819WS","D_SOD-323",67.800000,-47.700000,90.000000,top
"D6","1N5819WS","D_SOD-323",67.800000,-44.400000,-90.000000,top
"R1","10K","R_0402_1005Metric",68.000000,-53.500000,0.000000,top
"R2","10K","R_0402_1005Metric",68.005000,-80.800000,0.000000,top
"R3","10K","R_0402_1005Metric",68.000000,-67.100000,0.000000,top
"R5","470","R_0402_1005Metric",68.300000,-41.600000,180.000000,top
"R12","10K","R_0402_1005Metric",68.300000,-39.600000,180.000000,top
"R15","2K","R_0402_1005Metric",75.000000,-49.500000,0.000000,top
