Designator,Mid X,Mid Y,Rotation,Layer
C11,69.9,-46,0,top
D2,69.8,-39,-90,top
D5,67.9,-44.9,90,top
D6,67.9,-41.4,-90,top
D7,69.4,-61.55,-90,top
D8,69.6,-74.45,-90,top
D9,70.2,-88.15,-90,top
R1,68,-53.5,0,top
R2,68.1,-67.1,0,top
R3,67.9,-80.8,0,top
R4,67.8,-60.89,90,top
R5,67.9,-39.1,180,top
R6,67.8725,-73.75,90,top
R7,68.06,-87.45,90,top
R12,67.9,-38,180,top
R15,76.4,-51.2,90,top
